pollo_admin|apollo123
2|medplus_admin|medplus123
3|local_medical_admin|local123
4|city_pharmacy_admin|city123
5|healthcare_medicals_admin|health123
6|sunrise_pharmacy_admin|sunrise123
7|wellness_drugstore_admin|wellness123
8|medilife_pharmacy_admin|medilife123
9|careplus_medicals_admin|careplus123
10|green_cross_admin|greencross123
11|lifeline_medicals_admin|lifeline123
12|quick_meds_admin|quick123
13|trust_pharmacy_admin|trust123
14|remedy_medicals_admin|remedy123
15|prime_healthcare_admin|prime123
16|central_pharmacy_admin|central123
17|relief_medicals_admin|relief123
18|medico_pharmacy_admin|medico123
19|carefirst_drugstore_admin|carefirst123
20|global_medicals_admin|global123
